Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour
Mercedes Benz,E Class,1998.0,28.0,0.0,2000.0,Wellawatta (Colombo 06),Used,Petrol,Manual,Saloon,black
Suzuki,Spacia,2023.0,3.0,12000.0,660.0,Kotte,Reconditioned,Petrol,Automatic,Hatchback,yellow
Toyota,Allion,2017.0,9.0,178000.0,1200.0,Negombo,Used,Petrol,Automatic,Hatchback,white
Toyota,Vitz,2018.0,8.0,79000.0,1496.0,Gampaha,Used,Hybrid,Automatic,Hatchback,white
Honda,Civic,2018.0,8.0,95000.0,1000.0,Alutgama,Used,Petrol,Automatic,Hatchback,gray
Toyota,Passo,2015.0,11.0,145000.0,1000.0,Dehiwala,Used,Petrol,Automatic,Saloon,white
Suzuki,Swift,2010.0,16.0,140000.0,1200.0,Batticaloa,Used,Petrol,Manual,Hatchback,silver
Audi,A6,2013.0,13.0,165000.0,1968.0,Slave Island (Colombo 02),Used,Diesel,Automatic,Sedan,black
Toyota,Prius,2013.0,13.0,143000.0,1600.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,silver
Perodua,Elite,2011.0,15.0,117000.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,white
Toyota,Corolla,2008.0,18.0,110000.0,1600.0,Kandy,Used,Petrol,Automatic,Saloon,white
Micro,Panda,2016.0,10.0,71752.0,1000.0,Pelmadulla,Used,Petrol,Manual,Hatchback,black
Suzuki,Swift,2003.0,23.0,241000.0,1300.0,Ampitiya,Used,Petrol,Automatic,Hatchback,white
Toyota,Aqua,2013.0,13.0,161000.0,1500.0,Matara,Used,Hybrid,Automatic,Hatchback,gray
Daihatsu,Mira,2025.0,1.0,20.0,660.0,Alutgama,Brand New,Petrol,Automatic,Sports,gray
BMW,5 Series,2012.0,14.0,134000.0,1997.0,Colombo Fort (Colombo 01),Used,Petrol,Automatic,Saloon,gold
Suzuki,Wagon R,2017.0,9.0,109000.0,650.0,Alawatugoda,Used,Petrol,Automatic,Station wagon,black
KIA,Cerato,2011.0,15.0,68000.0,1600.0,Kohuwala,Used,Petrol,Automatic,Sedan,blue
Tata,Indica,2006.0,20.0,100000.0,1300.0,Katunayake,Used,Petrol,Manual,Hatchback,silver
Toyota,Roomy,2025.0,1.0,0.0,1000.0,Kottawagama,Brand New,Petrol,Automatic,Station wagon,white
