Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Daihatsu,Mira,2023.0,3.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,blue,6400000.0
Toyota,Allion,2013.0,13.0,180000.0,1200.0,Kegalle,Used,Hybrid,Automatic,Hatchback,maroon,9500000.0
Suzuki,Wagon R,2024.0,2.0,2000.0,650.0,Yakkala,Reconditioned,Petrol,Automatic,Hatchback,white,7650000.0
Toyota,Corona,2000.0,26.0,152000.0,2000.0,Ragama,Used,Diesel,Automatic,Saloon,silver,5800000.0
Toyota,Premio,2018.0,8.0,86000.0,1500.0,Nattandiya,Used,Petrol,Automatic,Saloon,white,13200000.0
Toyota,Corolla,2008.0,18.0,185000.0,1600.0,Nugegoda,Used,Petrol,Automatic,Saloon,black,7000000.0
Toyota,Allion,2010.0,16.0,195000.0,1460.0,Athurugiriya,Used,Petrol,Automatic,Saloon,other,9300000.0
Suzuki,Alto,2017.0,9.0,200000.0,660.0,Matale,Used,Petrol,Automatic,Hatchback,silver,5250000.0
Toyota,Vitz,2009.0,17.0,142000.0,1000.0,Negombo,Used,Petrol,Automatic,Hatchback,gray,5650000.0
Nissan,FB 15,1997.0,29.0,125559.0,1500.0,Avissawella,Used,Petrol,Automatic,Saloon,silver,2875000.0
Suzuki,Celerio,2016.0,10.0,78000.0,1000.0,Ragama,Used,Petrol,Automatic,Hatchback,red,4900000.0
Suzuki,Alto,2015.0,11.0,112000.0,800.0,Embilipitiya,Brand New,Petrol,Manual,Hatchback,silver,3980000.0
Suzuki,Wagon R,2014.0,12.0,100000.0,650.0,Wattala,Used,Petrol,Automatic,Sedan,white,5550000.0
Honda,Fit,2012.0,14.0,159000.0,1330.0,Wattala,Used,Petrol,Automatic,Hatchback,silver,6200000.0
Suzuki,Alto,2015.0,11.0,46000.0,680.0,Badulla,Reconditioned,Petrol,Manual,Hatchback,gray,3350000.0
Toyota,Axio,2018.0,8.0,106000.0,1500.0,Padukka,Used,Hybrid,Automatic,Sedan,white,13500000.0
Mercedes Benz,E Class,2015.0,11.0,70000.0,2000.0,Kohuwala,Used,Diesel,Automatic,Sedan,black,17500000.0
BMW,5 Series,2010.0,16.0,160000.0,2497.0,Pita Kotte,Used,Petrol,Automatic,,black,16900000.0
