Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour
Nissan,March,2002.0,24.0,100000.0,1240.0,Badulla,Used,Petrol,Automatic,Hatchback,other
Nissan,Dayz,2024.0,2.0,2800.0,660.0,Colombo Fort (Colombo 01),Reconditioned,Petrol,Automatic,Hatchback,silver
Suzuki,Alto,2015.0,11.0,88487.0,800.0,Wattala,Used,Petrol,Manual,Hatchback,black
Suzuki,Spacia,2015.0,11.0,138000.0,960.0,Monaragala,Used,Petrol,Automatic,Hatchback,pink
Toyota,Vitz,2005.0,21.0,0.0,1000.0,Gampola,Used,Hybrid,Automatic,Hatchback,blue
Suzuki,Wagon R,2024.0,2.0,0.0,650.0,Borella (Colombo 08),Brand New,Petrol,Automatic,Hatchback,blue
Suzuki,Swift,2004.0,22.0,110000.0,1320.0,Galle,Used,Petrol,Automatic,Liftback,blue
Mitsubishi,Minica,2008.0,18.0,140000.0,998.0,Badalgama,Used,Petrol,Automatic,Hatchback,black
Toyota,Axio,2014.0,12.0,140000.0,1490.0,Beruwala,Used,Petrol,Automatic,Saloon,white
Honda,Civic,2005.0,21.0,172000.0,1600.0,Colombo Fort (Colombo 01),Used,Petrol,Manual,Sedan,black
Suzuki,Maruti,2010.0,16.0,0.0,800.0,Galkulama,Used,Petrol,Manual,Liftback,black
Tata,Indigo,2015.0,11.0,119000.0,1200.0,Kirillawala,Used,Petrol,Manual,Hatchback,silver
Toyota,Yaris,2025.0,1.0,10000.0,1000.0,Wattala,Brand New,Petrol,Automatic,Hatchback,white
Toyota,Vitz,2017.0,9.0,123000.0,1000.0,Nugegoda,Used,Petrol,Automatic,Hatchback,blue
Nissan,N 16,2000.0,26.0,145000.0,1300.0,Ganemulla,Used,Petrol,Manual,Saloon,maroon
Suzuki,SX,2018.0,8.0,81000.0,1200.0,Piliyandala,Used,Petrol,Automatic,Hatchback,black
Suzuki,Celerio,2016.0,10.0,96000.0,1000.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white
Nissan,Tiida,2008.0,18.0,167000.0,1500.0,Nawala,Used,Petrol,Automatic,Hatchback,black
Suzuki,Wagon R,2015.0,11.0,0.0,900.0,Dedunupitiya,Used,Petrol,Automatic,Liftback,other
BMW,740Le,2017.0,9.0,18000.0,2000.0,Kohuwala,Used,Petrol,Automatic,Saloon,white
Suzuki,Hustler,2024.0,2.0,3000.0,658.0,Mawathagama,Reconditioned,Petrol,Automatic,Sports,white
Suzuki,Wagon R,2018.0,8.0,0.0,900.0,Keppetipola,Used,Petrol,Automatic,Liftback,white
Toyota,DX Wagon,1990.0,36.0,100000.0,1300.0,Badulla,Used,Petrol,Manual,Station wagon,green
Nissan,Sunny,1987.0,39.0,245000.0,1300.0,Kottawa,Used,Petrol,Manual,Sedan,gray
Toyota,Axio,2007.0,19.0,160000.0,1500.0,Matale,Used,Petrol,Automatic,Sedan,silver
Honda,Civic,2003.0,23.0,212647.0,1490.0,Colombo Fort (Colombo 01),Used,Petrol,Automatic,Hatchback,silver
Hyundai,Eon,2016.0,10.0,24500.0,814.0,Batticaloa,Used,Petrol,Manual,Hatchback,white
Toyota,Axio,2017.0,9.0,121000.0,1500.0,Kohuwala,Used,Hybrid,Automatic,Saloon,other
Mercedes Benz,C200,2008.0,18.0,163000.0,1800.0,Moratuwa,Used,Petrol,Automatic,Saloon,white
Nissan,N 16,2003.0,23.0,173000.0,1300.0,Badulla,Used,Petrol,Manual,Saloon,silver
Suzuki,Baleno,2016.0,10.0,123000.0,1200.0,Godagama,Used,Petrol,Automatic,Hatchback,black
Toyota,Premio,2010.0,16.0,118000.0,1500.0,Kandy,Used,Petrol,Automatic,Hatchback,gray
Micro,Panda,2013.0,13.0,0.0,1000.0,Horana,Used,Petrol,Manual,Hatchback,black
Subaru,Pleo,2023.0,3.0,7500.0,658.0,Narammala,Reconditioned,Petrol,Automatic,Hatchback,red
Nissan,Dayz,2024.0,2.0,2500.0,659.0,Rajagiriya,Brand New,Petrol,Automatic,Hatchback,blue
Suzuki,Alto,2015.0,11.0,75000.0,1000.0,Battaramulla,Used,Petrol,Other,Hatchback,black
Toyota,Belta,2007.0,19.0,150000.0,990.0,Wellampitiya,Used,Petrol,Automatic,Liftback,white
Suzuki,Estilo,2012.0,14.0,98000.0,1000.0,Ragama,Used,Petrol,Manual,Hatchback,gold
Micro,Panda,2012.0,14.0,0.0,1300.0,Panadura,Used,Petrol,Manual,Hatchback,orange
Suzuki,Alto,2015.0,11.0,117000.0,800.0,Batticaloa,Used,Petrol,Manual,Hatchback,gray
Mercedes Benz,C200,2025.0,1.0,0.0,1500.0,Maradana (Colombo 10),Brand New,Hybrid,Automatic,Saloon,black
Suzuki,Maruti,2007.0,19.0,0.0,,Kurunegala,Used,Petrol,Manual,Hatchback,maroon
Mazda,Demio,2009.0,17.0,180000.0,1300.0,Pelmadulla,Used,Petrol,Automatic,Hatchback,white
Mitsubishi,Lancer,,,150000.0,1496.0,Pilimatalawa,Used,Petrol,Manual,Sedan,blue
Daihatsu,Mira,2023.0,3.0,1234.0,660.0,Kottawa,Brand New,Petrol,Automatic,Liftback,blue
Suzuki,Swift,2004.0,22.0,122000.0,760.0,Matara,Used,Petrol,Manual,Hatchback,black
Audi,Q2,2019.0,7.0,146000.0,999.0,Athurugiriya,Used,Petrol,Automatic,Hatchback,gray
Honda,Fit,2011.0,15.0,110000.0,1339.0,Moratuwa,Used,Petrol,Automatic,Hatchback,silver
Toyota,Vitz,2017.0,9.0,55000.0,1500.0,Kandy,Used,Petrol,Automatic,,gray
Perodua,Bezza,2018.0,8.0,63000.0,1000.0,Narahenpita (Colombo 05),Used,Petrol,Manual,Hatchback,white
Suzuki,Wagon R,2025.0,1.0,1500.0,690.0,Kurunegala,Brand New,Hybrid,Automatic,Hatchback,white
Suzuki,Wagon R,2025.0,1.0,0.0,650.0,Attanagalla,Brand New,Hybrid,Automatic,Hatchback,white
Suzuki,A Star,2012.0,14.0,119678.0,1000.0,Katunayake,Used,Petrol,Manual,Hatchback,brown
Toyota,Passo,2009.0,17.0,131275.0,1000.0,Gampaha,Used,Petrol,Automatic,Hatchback,silver
Suzuki,Wagon R,2018.0,8.0,72000.0,650.0,Pannala,Used,Petrol,Automatic,Convertible,white
Honda,Accord,1994.0,32.0,0.0,2000.0,Agarapathana,Used,Petrol,Manual,Saloon,blue
Honda,Grace,2017.0,9.0,120000.0,1600.0,Matara,Reconditioned,Petrol,Automatic,Liftback,white
Suzuki,Wagon R,2014.0,12.0,100000.0,650.0,Bandaragama,Used,Hybrid,Automatic,Convertible,black
Honda,Fit,2014.0,12.0,125000.0,1500.0,Moratuwa,Used,Hybrid,Automatic,Liftback,black
Suzuki,Wagon R,2018.0,8.0,22.14,650.0,Welimada,Used,Hybrid,Automatic,Hatchback,white
Honda,Grace,2015.0,11.0,141800.0,1500.0,Bambalapitiya (Colombo 04),Used,Hybrid,Automatic,Hatchback,maroon
Suzuki,Wagon R,2015.0,11.0,136000.0,650.0,Malabe,Used,Hybrid,Automatic,Hatchback,black
Honda,Insight,2009.0,17.0,190000.0,1330.0,Trincomalee,Reconditioned,Hybrid,Automatic,Sedan,red
Toyota,Corolla,1994.0,32.0,182000.0,1970.0,Embilipitiya,Used,Diesel,Manual,Saloon,white
Suzuki,Wagon R,2015.0,11.0,158000.0,650.0,Batticaloa,Used,Petrol,Automatic,Sedan,red
Toyota,Yaris,2023.0,3.0,8500.0,1000.0,Kelaniya,Brand New,Petrol,Automatic,Liftback,red
Daihatsu,Charade,1988.0,38.0,97285.0,990.0,Nittambuwa,Used,Diesel,Manual,Hatchback,green
Mitsubishi,Lancer,1990.0,36.0,0.0,1300.0,Anuradhapura,Used,Petrol,Manual,Liftback,white
Nissan,March,2001.0,25.0,0.0,1000.0,Mawanella,Used,Petrol,Manual,Hatchback,silver
Toyota,Yaris,2008.0,18.0,189000.0,1300.0,Piliyandala,Used,Petrol,Manual,Hatchback,blue
Nissan,Sunny,1998.0,28.0,100000.0,1300.0,Yakkala,Used,Petrol,Manual,Saloon,white
Toyota,Vitz,2019.0,7.0,49000.0,1200.0,Colombo Fort (Colombo 01),Used,Petrol,Automatic,Hatchback,white
Suzuki,Estilo,2010.0,16.0,102000.0,1000.0,Peradeniya,Used,Petrol,Manual,Hatchback,orange
Toyota,Axio,2014.0,12.0,184000.0,1500.0,Moratuwa,Used,Hybrid,Automatic,Saloon,white
Nissan,Bluebird,2007.0,19.0,175000.0,1500.0,Panadura,Used,Petrol,Automatic,Saloon,maroon
Suzuki,Wagon R,2017.0,9.0,180000.0,998.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white
Mazda,6,2016.0,10.0,69699.0,2488.0,Colombo Fort (Colombo 01),Used,Petrol,Automatic,Sedan,black
Suzuki,Wagon R,2017.0,9.0,114000.0,,Sooriyawewa Town,Used,Petrol,Automatic,Hatchback,other
Honda,Shuttle,2012.0,14.0,0.0,1500.0,Ratnapura,Used,Hybrid,Automatic,,blue
Suzuki,Wagon R,2018.0,8.0,0.0,650.0,Siyambalewa,Used,Petrol,Automatic,Liftback,white
Toyota,IST,2003.0,23.0,178000.0,1300.0,Ratnapura,Used,Petrol,Automatic,Hatchback,blue
KIA,Sportage,2012.0,14.0,180000.0,2000.0,Alutgama,Used,Petrol,Automatic,Hatchback,black
Toyota,Vitz,2019.0,7.0,70000.0,1000.0,Anuradhapura,Used,Hybrid,Automatic,Hatchback,white
Suzuki,Wagon R,2024.0,2.0,3000.0,650.0,Anuradhapura,Brand New,Petrol,Automatic,Hatchback,black
Suzuki,Alto,2015.0,11.0,72000.0,800.0,Nugegoda,Used,Petrol,Manual,Hatchback,white
Suzuki,Alto,2005.0,21.0,100000.0,800.0,Bandaragama,Used,Petrol,Manual,Convertible,silver
Subaru,XV,2014.0,12.0,149000.0,1995.0,Gampaha,Used,Hybrid,Automatic,Hatchback,black
