Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Suzuki,Wagon R,2023.0,3.0,8800.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,other,7250000.0
Toyota,Vitz,2008.0,18.0,180000.0,1300.0,Homagama,Used,Petrol,Automatic,Hatchback,orange,6000000.0
Toyota,Axio,2015.0,11.0,50500.0,1500.0,Kandana,Used,Petrol,Automatic,Saloon,brown,11000000.0
Suzuki,Celerio,2016.0,10.0,102000.0,1000.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white,5175000.0
Daihatsu,Mira,1988.0,38.0,125000.0,850.0,Homagama,Used,Petrol,Manual,Hatchback,red,1350000.0
Suzuki,Alto,2016.0,10.0,112750.0,800.0,Panadura,Used,Petrol,Manual,Hatchback,white,3900000.0
Mitsubishi,Lancer,2002.0,24.0,141321.0,1500.0,Nikaweratiya,Used,Petrol,Manual,Saloon,silver,6050000.0
Suzuki,Celerio,2015.0,11.0,0.0,1000.0,Ambalangoda,Used,Petrol,Manual,Hatchback,white,4400000.0
Toyota,Aqua,2016.0,10.0,140000.0,,Kadawatha,Used,Petrol,Automatic,Liftback,white,8400000.0
Suzuki,Wagon R,2018.0,8.0,78000.0,650.0,Batticaloa,Used,Petrol,Automatic,Station wagon,white,6600000.0
Toyota,Axio,2015.0,11.0,153000.0,1500.0,Kurunegala,Used,Petrol,Automatic,Sedan,silver,9300000.0
Suzuki,Wagon R,2017.0,9.0,160000.0,,Negombo,Used,Petrol,Automatic,,white,6000000.0
Suzuki,Wagon R,2024.0,2.0,3000.0,650.0,Negombo,Brand New,Petrol,Automatic,Hatchback,purple,7400000.0
Perodua,Kelisa,2006.0,20.0,80000.0,989.0,Anuradhapura,Used,Petrol,Automatic,,gold,3175000.0
Toyota,Premio,2019.0,7.0,98000.0,1500.0,Negombo,Used,Petrol,Automatic,Sedan,white,16800000.0
Toyota,Aqua,2014.0,12.0,168000.0,1200.0,Pussellawa,Used,Hybrid,Automatic,Hatchback,blue,8200000.0
Perodua,Elite,2012.0,14.0,103000.0,1000.0,Adampan,Used,Petrol,Automatic,Hatchback,silver,4350000.0
Suzuki,Alto,2015.0,11.0,120000.0,660.0,Rajagiriya,Used,Petrol,Tiptronic,Hatchback,blue,5300000.0
Suzuki,Wagon R,2014.0,12.0,35000.0,660.0,Kaduwela,Used,Hybrid,Automatic,,white,5890000.0
Micro,Panda,2015.0,11.0,82000.0,1000.0,Wanela,Used,Petrol,Manual,Hatchback,orange,3550000.0
Honda,Fit,2014.0,12.0,180000.0,1500.0,Hapugala,Used,Hybrid,Automatic,Hatchback,white,7750000.0
KIA,Rio,2015.0,11.0,145000.0,1500.0,Ambalangoda,Used,Petrol,Automatic,Saloon,red,8250000.0
Suzuki,Wagon R,2017.0,9.0,110000.0,660.0,Katunayake,Used,Hybrid,Automatic,Liftback,white,6950000.0
Suzuki,Wagon R,2017.0,9.0,74000.0,650.0,Anamaduwa,Used,Petrol,Automatic,Hatchback,white,6490000.0
Toyota,Tank,2018.0,8.0,80000.0,1200.0,Kandy,Used,Petrol,Automatic,Hatchback,white,7600000.0
Honda,ARIA,2008.0,18.0,1234.0,1500.0,Ella,Used,Petrol,Automatic,Saloon,silver,5650000.0
Mercedes Benz,E Class,1998.0,28.0,0.0,2000.0,Wellawatta (Colombo 06),Used,Petrol,Manual,Saloon,black,5900000.0
Suzuki,Spacia,2023.0,3.0,12000.0,660.0,Kotte,Reconditioned,Petrol,Automatic,Hatchback,yellow,7100000.0
Toyota,Allion,2017.0,9.0,178000.0,1200.0,Negombo,Used,Petrol,Automatic,Hatchback,white,12500000.0
Toyota,Vitz,2018.0,8.0,79000.0,1496.0,Gampaha,Used,Hybrid,Automatic,Hatchback,white,7700000.0
